angle,t_count_x,t_count_2x,len_x,len_2x
2.3207963267948966,48,44,69,70
2.3260795121020763,52,50,77,79
2.3313626974092556,52,50,80,75
2.3366458827164354,52,50,73,75
2.3419290680236151,52,50,88,75
2.3472122533307944,50,52,84,81
2.3524954386379742,52,50,75,78
2.3577786239451539,48,50,73,78
2.3630618092523332,50,50,75,78
2.368344994559513,50,50,72,76
2.3736281798666927,46,54,73,84
2.378911365173872,48,54,69,84
2.3841945504810518,48,54,77,84
2.3894777357882311,50,50,72,80
2.3947609210954108,50,50,75,80
2.4000441064025906,50,50,81,80
2.4053272917097699,48,46,74,71
2.4106104770169496,50,46,74,70
2.4158936623241294,50,46,75,70
2.4211768476313087,46,46,72,70
2.4264600329384884,50,48,81,78
2.4317432182456677,48,48,79,83
2.4370264035528475,48,48,71,83
2.4423095888600272,52,48,82,83
2.4475927741672066,50,44,79,68
2.4528759594743863,46,46,76,73
2.4581591447815661,50,46,76,73
2.4634423300887454,50,46,73,73
2.4687255153959251,50,52,74,82
2.4740087007031049,52,50,73,79
2.4792918860102842,50,50,71,79
2.4845750713174639,52,48,73,72
2.4898582566246432,52,48,78,72
2.495141441931823,52,50,78,86
2.5004246272390027,50,50,77,86
2.505707812546182,50,50,75,76
2.5109909978533618,50,50,78,76
2.5162741831605415,50,48,79,78
2.5215573684677208,52,48,81,78
2.5268405537749006,50,46,71,75
2.5321237390820803,50,46,80,75
2.5374069243892596,50,42,76,67
2.5426901096964394,48,42,73,67
2.5479732950036187,48,50,69,76
2.5532564803107984,48,50,71,76
2.5585396656179782,52,52,78,86
2.5638228509251575,44,52,66,86
2.5691060362323372,48,48,70,75
2.574389221539517,52,48,82,75
2.5796724068466963,48,50,76,82
2.584955592153876,48,50,71,82
2.5902387774610554,50,48,79,81
2.5955219627682351,48,48,76,81
2.6008051480754149,50,50,77,74
2.6060883333825942,50,50,80,74
2.6113715186897739,50,48,77,76
2.6166547039969537,50,48,75,76
2.621937889304133,50,50,83,76
2.6272210746113127,52,50,84,76
2.6325042599184925,50,46,81,69
2.6377874452256718,48,48,76,78
2.6430706305328515,50,60,79,91
2.6483538158400308,44,62,68,92
2.6536370011472106,50,62,78,99
2.6589201864543903,52,62,79,99
2.6642033717615696,44,64,67,102
2.6694865570687494,48,62,78,93
2.6747697423759291,50,62,74,93
2.6800529276831084,48,60,74,88
2.6853361129902882,50,60,68,88
2.6906192982974675,52,60,79,95
2.6959024836046472,54,62,84,97
2.701185668911827,50,62,79,97
2.7064688542190063,46,54,77,76
2.711752039526186,50,60,79,86
2.7170352248333658,50,60,81,93
2.7223184101405451,50,60,75,93
2.7276015954477248,46,60,73,85
2.7328847807549046,48,58,73,92
2.7381679660620839,52,58,80,95
2.7434511513692637,52,58,84,95
2.748734336676443,50,58,75,87
2.7540175219836227,52,60,80,87
2.7593007072908025,50,56,82,78
2.7645838925979818,54,56,86,78
2.7698670779051615,52,64,78,96
2.7751502632123413,48,60,72,95
2.7804334485195206,50,56,79,95
2.7857166338267003,50,56,79,95
2.7909998191338801,50,62,79,95
2.7962830044410594,50,62,74,101
2.8015661897482391,38,60,54,94
2.8068493750554184,50,60,73,94
2.8121325603625982,50,60,76,92
2.8174157456697779,50,64,72,98
2.8226989309769572,44,60,66,102
2.827982116284137,46,60,71,102
2.8332653015913167,50,60,73,92
2.838548486898496,50,52,70,76
2.8438316722056758,50,62,67,95
2.8491148575128551,48,62,71,95
2.8543980428200348,52,56,81,82
2.8596812281272146,48,62,77,97
2.8649644134343939,48,60,75,95
2.8702475987415736,50,58,78,90
2.8755307840487534,48,62,72,96
2.8808139693559327,48,62,76,100
2.8860971546631125,52,60,79,96
2.8913803399702922,50,56,80,86
2.8966635252774715,50,60,79,88
2.9019467105846513,50,62,75,89
2.9072298958918306,46,58,74,92
2.9125130811990103,48,58,78,94
2.9177962665061901,54,60,88,93
2.9230794518133694,48,62,80,86
2.9283626371205491,46,60,72,93
2.9336458224277289,52,60,84,85
2.9389290077349082,48,58,74,84
2.9442121930420879,52,58,78,90
2.9494953783492677,52,62,90,95
2.954778563656447,48,54,70,85
2.9600617489636267,50,60,81,98
2.965344934270806,52,60,74,95
2.9706281195779858,48,60,74,90
2.9759113048851655,50,60,75,93
2.9811944901923448,50,58,77,91
2.9864776754995246,48,60,76,90
2.9917608608067043,50,62,77,85
2.9970440461138836,50,58,74,93
3.0023272314210634,50,60,76,97
3.0076104167282427,50,60,81,96
3.0128936020354224,50,62,75,92
3.0181767873426022,48,56,76,89
3.0234599726497815,50,60,81,88
3.0287431579569613,48,58,72,87
3.034026343264141,52,62,79,95
3.0393095285713203,50,64,77,97
3.0445927138785001,52,60,84,89
3.0498758991856798,40,58,60,90
3.0551590844928591,50,62,82,100
3.0604422698000389,50,60,75,97
3.0657254551072182,50,60,75,90
3.0710086404143979,48,60,70,84
3.0762918257215777,50,60,78,91
3.081575011028757,48,62,74,99
3.0868581963359367,50,56,72,80
3.0921413816431165,48,72,77,108
3.0974245669502958,48,70,76,103
3.1027077522574755,50,70,85,107
3.1079909375646548,46,70,69,105
3.1132741228718346,46,72,69,108
3.1185573081790143,50,68,79,99
3.1238404934861936,50,72,74,115
3.1291236787933734,46,72,71,106
3.1344068641005531,50,72,72,114
3.1396900494077324,48,82,69,129
3.1449732347149122,50,82,83,126
3.1502564200220919,52,70,82,103
3.1555396053292712,50,70,72,114
3.160822790636451,50,70,72,104
3.1661059759436303,50,70,78,104
3.1713891612508101,52,70,81,109
3.1766723465579898,50,66,74,105
3.1819555318651691,50,72,83,115
3.1872387171723489,52,66,77,100
3.1925219024795286,50,62,72,94
3.1978050877867079,50,58,75,88
3.2030882730938877,50,58,76,91
3.2083714584010674,48,58,76,89
3.2136546437082467,54,60,85,91
3.2189378290154265,48,62,77,91
